,gender,age,injury_present,specific_sport_BJJ,specific_sport_BOKSNING,specific_sport_BOULDERING,specific_sport_DANS,specific_sport_FODBOLD,specific_sport_MMA,specific_sport_MUAY_THAI,specific_sport_RIDNING,specific_sport_SVØMNING
104,2,2,0,False,False,True,False,False,False,False,False,False
105,2,4,1,False,False,False,False,True,False,False,False,False
106,1,4,0,False,False,False,False,False,False,False,False,False
107,2,3,1,False,False,False,False,True,False,False,False,False
108,2,4,1,False,False,False,True,False,False,False,False,False
109,1,2,1,False,False,False,False,False,False,True,False,False
110,2,2,1,False,False,True,False,False,False,False,False,False
111,2,4,1,False,False,False,False,True,False,False,False,False
112,1,2,1,False,False,True,False,False,False,False,False,False
113,1,1,1,False,False,True,False,False,False,False,False,False
114,2,1,1,False,False,False,False,True,False,False,False,False
115,1,1,1,False,False,False,False,True,False,False,False,False
116,2,1,0,False,False,False,False,True,False,False,False,False
117,1,2,1,False,False,False,False,False,False,False,False,False
118,1,4,0,False,False,False,False,False,False,False,False,False
119,2,1,0,False,False,False,False,True,False,False,False,False
120,1,2,1,False,False,False,False,False,False,False,False,False
121,2,1,1,False,False,False,False,True,False,False,False,False
122,2,1,1,False,False,False,False,True,False,False,False,False
123,2,2,1,False,False,True,False,False,False,False,False,False
124,2,1,1,False,False,True,False,False,False,False,False,False
125,1,1,1,False,False,True,False,False,False,False,False,False
126,2,1,1,False,False,False,False,True,False,False,False,False
127,2,3,1,False,False,False,False,True,False,False,False,False
128,1,4,0,True,False,False,False,False,False,False,False,False
129,1,3,1,False,False,False,False,True,False,False,False,False
130,1,1,0,False,False,True,False,False,False,False,False,False
131,1,1,0,False,False,True,False,False,False,False,False,False
132,1,4,1,False,False,False,False,False,False,False,False,False
133,1,2,0,False,False,False,False,False,False,False,False,False
134,1,4,1,True,False,False,False,False,False,False,False,False
135,2,1,1,True,False,False,False,False,False,False,False,False
136,1,2,0,False,False,False,False,False,False,False,False,False
137,1,2,1,False,False,False,False,False,False,False,False,False
138,2,1,1,False,False,False,False,False,False,False,False,False
139,2,4,0,False,False,False,False,True,False,False,False,False
140,2,4,0,False,False,False,False,True,False,False,False,False
141,2,1,1,False,False,False,False,True,False,False,False,False
142,2,4,0,False,False,False,False,True,False,False,False,False
143,2,2,1,False,False,False,False,True,False,False,False,False
144,3,1,0,False,False,True,False,False,False,False,False,False
145,2,1,1,False,False,False,False,True,False,False,False,False
146,1,3,1,False,False,False,False,False,False,False,False,False
147,1,1,1,False,False,True,False,False,False,False,False,False
148,2,1,1,False,False,False,False,True,False,False,False,False
149,2,1,1,False,False,False,False,True,False,False,False,False
150,1,3,1,False,False,False,False,False,True,False,False,False
151,1,2,1,False,False,True,False,False,False,False,False,False
152,1,1,0,False,False,True,False,False,False,False,False,False
153,2,2,1,False,False,False,False,True,False,False,False,False
154,2,1,0,False,False,False,False,True,False,False,False,False
155,2,2,1,False,False,False,False,True,False,False,False,False
156,2,4,1,False,False,False,False,True,False,False,False,False
157,1,3,0,False,False,False,False,True,False,False,False,False
158,2,4,0,False,False,False,False,True,False,False,False,False
159,2,4,1,False,False,False,False,True,False,False,False,False
160,2,3,1,False,False,True,False,False,False,False,False,False
161,1,2,1,False,False,True,False,False,False,False,False,False
162,2,1,1,False,False,False,False,True,False,False,False,False
163,1,2,1,False,False,False,False,True,False,False,False,False
164,2,1,0,False,False,False,False,True,False,False,False,False
165,2,2,1,False,False,True,False,False,False,False,False,False
166,2,4,0,False,False,False,False,False,False,False,False,False
167,1,3,1,False,False,True,False,False,False,False,False,False
168,2,1,1,False,False,False,False,False,False,False,False,True
169,1,4,1,False,False,False,False,False,False,True,False,False
170,2,2,1,False,False,False,False,True,False,False,False,False
171,2,4,1,False,False,False,False,True,False,False,False,False
172,1,1,1,False,False,True,False,False,False,False,False,False
173,1,3,1,False,False,False,False,False,False,False,False,False
174,1,2,0,True,False,False,False,False,False,False,False,False
175,2,1,0,False,False,False,False,True,False,False,False,False
176,1,1,0,False,False,True,False,False,False,False,False,False
177,2,4,0,False,False,False,False,False,False,False,False,True
178,1,2,1,False,False,False,False,False,False,True,False,False
179,2,1,0,False,False,False,False,False,False,False,True,False
180,1,2,1,False,False,True,False,False,False,False,False,False
181,2,3,1,False,False,False,False,True,False,False,False,False
182,2,1,0,False,False,False,False,False,False,False,False,True
183,1,1,1,False,True,False,False,False,False,False,False,False
184,2,1,1,False,False,False,False,False,False,False,True,False
185,1,2,1,False,False,True,False,False,False,False,False,False
186,2,2,1,False,False,True,False,False,False,False,False,False
187,1,1,1,False,False,False,False,True,False,False,False,False
188,1,1,1,False,False,False,False,True,False,False,False,False
189,2,4,0,False,False,False,False,True,False,False,False,False
190,1,1,1,False,False,False,False,False,False,True,False,False
191,1,3,1,False,False,False,False,True,False,False,False,False
192,2,1,0,False,False,False,False,False,False,False,True,False
193,2,1,1,False,False,False,False,True,False,False,False,False
194,2,1,1,False,False,False,False,True,False,False,False,False
195,2,1,1,False,False,False,False,True,False,False,False,False
196,2,4,0,False,False,False,True,False,False,False,False,False
197,2,1,1,False,False,False,False,False,False,False,True,False
198,1,2,1,False,False,False,False,False,True,False,False,False
199,2,1,1,False,False,False,False,True,False,False,False,False
200,1,3,1,False,False,True,False,False,False,False,False,False
